"",smyth-pc.moorecap.com,01/Jul/1995:00:01:19,/history/apollo/images/footprint-small.gif,18149,""
"",205.189.154.54,01/Jul/1995:00:01:19,/shuttle/missions/sts-71/images/KSC-95EC-0423.txt,1224,""
"",www-b4.proxy.aol.com,01/Jul/1995:00:01:21,/shuttle/countdown/video/livevideo.gif,70712,""
"",smyth-pc.moorecap.com,01/Jul/1995:00:01:24,/history/apollo/apollo-spacecraft.txt,2261,""
"",slip1.yab.com,01/Jul/1995:00:01:26,/shuttle/resources/orbiters/endeavour.html,6168,""
"",link097.txdirect.net,01/Jul/1995:00:01:26,/shuttle/missions/missions.html,8677,""
"",port26.annex2.nwlink.com,01/Jul/1995:00:01:27,/images/KSC-logosmall.gif,1204,""
"",port26.annex2.nwlink.com,01/Jul/1995:00:01:27,/images/MOSAIC-logosmall.gif,363,""
"",remote27.compusmart.ab.ca,01/Jul/1995:00:01:27,/shuttle/countdown/,3985,""
"",link097.txdirect.net,01/Jul/1995:00:01:27,/images/launchmedium.gif,11853,""
"",slip1.yab.com,01/Jul/1995:00:01:29,/shuttle/resources/orbiters/endeavour.gif,16991,""
"",link097.txdirect.net,01/Jul/1995:00:01:31,/images/NASA-logosmall.gif,786,""
"",link097.txdirect.net,01/Jul/1995:00:01:31,/images/KSC-logosmall.gif,1204,""
"",port26.annex2.nwlink.com,01/Jul/1995:00:01:32,/images/USA-logosmall.gif,234,""
"",port26.annex2.nwlink.com,01/Jul/1995:00:01:32,/images/WORLD-logosmall.gif,669,""
"",onyx.southwind.net,01/Jul/1995:00:01:34,/shuttle/countdown/countdown.html,3985,""
"",onyx.southwind.net,01/Jul/1995:00:01:35,/shuttle/countdown/count.gif,40310,""
"",onyx.southwind.net,01/Jul/1995:00:01:39,/images/KSC-logosmall.gif,0,""
"",unicomp6.unicomp.net,01/Jul/1995:00:01:41,/htbin/cdt_main.pl,3214,""
"",199.72.81.55,01/Jul/1995:00:01:43,/,7074,""
"",link097.txdirect.net,01/Jul/1995:00:01:44,/shuttle/missions/sts-78/mission-sts-78.html,4377,""
"",link097.txdirect.net,01/Jul/1995:00:01:45,/shuttle/missions/sts-78/sts-78-patch-small.gif,4179,""
"",199.72.81.55,01/Jul/1995:00:01:46,/images/ksclogo-medium.gif,5866,""
"",gater4.sematech.org,01/Jul/1995:00:01:46,/shuttle/countdown/,3985,""
"",link097.txdirect.net,01/Jul/1995:00:01:47,/images/launch-logo.gif,1713,""
"",ppp-nyc-3-1.ios.com,01/Jul/1995:00:01:49,/shuttle/missions/sts-71/images/KSC-95EC-0917.jpg,52491,""
"",gater3.sematech.org,01/Jul/1995:00:01:50,/shuttle/countdown/count.gif,40310,""
"",199.72.81.55,01/Jul/1995:00:01:50,/images/MOSAIC-logosmall.gif,363,""
"",199.72.81.55,01/Jul/1995:00:01:51,/images/USA-logosmall.gif,234,""
"",gater4.sematech.org,01/Jul/1995:00:01:52,/images/NASA-logosmall.gif,786,""
"",199.72.81.55,01/Jul/1995:00:01:52,/images/WORLD-logosmall.gif,669,""
"",ix-or10-06.ix.netcom.com,01/Jul/1995:00:01:52,/software/winvn/userguide/wvnguide.html,5998,""
"",gater3.sematech.org,01/Jul/1995:00:01:52,/images/KSC-logosmall.gif,1204,""
"",remote27.compusmart.ab.ca,01/Jul/1995:00:01:53,"/cgi-bin/imagemap/countdown?102,174",110,""
"",remote27.compusmart.ab.ca,01/Jul/1995:00:01:55,/shuttle/missions/sts-71/images/images.html,7634,""
"",link097.txdirect.net,01/Jul/1995:00:01:55,/shuttle/resources/orbiters/columbia.html,6922,""
"",dave.dev1.ihub.com,01/Jul/1995:00:01:55,/shuttle/countdown/,3985,""
"",link097.txdirect.net,01/Jul/1995:00:01:56,/shuttle/resources/orbiters/columbia-logo.gif,11417,""
"",netport-27.iu.net,01/Jul/1995:00:01:57,/,7074,""
"",ix-or10-06.ix.netcom.com,01/Jul/1995:00:01:57,/software/winvn/userguide/wvnguide.gif,4151,""
"",dave.dev1.ihub.com,01/Jul/1995:00:01:58,/images/NASA-logosmall.gif,786,""
"",dave.dev1.ihub.com,01/Jul/1995:00:01:58,/images/KSC-logosmall.gif,1204,""
"",dave.dev1.ihub.com,01/Jul/1995:00:01:58,/shuttle/countdown/count.gif,40310,""
"",pm13.j51.com,01/Jul/1995:00:01:58,/shuttle/missions/sts-71/movies/crew-arrival-t38.mpg,305722,""
"",bart-slip1.llnl.gov,01/Jul/1995:00:01:59,/shuttle/missions/missions.html,8677,""
"",link097.txdirect.net,01/Jul/1995:00:01:59,/images/ksclogosmall.gif,3635,""
"",link097.txdirect.net,01/Jul/1995:00:01:59,/shuttle/resources/orbiters/orbiters-logo.gif,1932,""
"",netport-27.iu.net,01/Jul/1995:00:02:00,/images/ksclogo-medium.gif,0,""
"",netport-27.iu.net,01/Jul/1995:00:02:01,/images/NASA-logosmall.gif,0,""
"",netport-27.iu.net,01/Jul/1995:00:02:01,/images/MOSAIC-logosmall.gif,0,""
"",netport-27.iu.net,01/Jul/1995:00:02:01,/images/USA-logosmall.gif,0,""
"",smyth-pc.moorecap.com,01/Jul/1995:00:02:02,/history/apollo/images/footprint-small.gif,18149,""
"",netport-27.iu.net,01/Jul/1995:00:02:04,/images/WORLD-logosmall.gif,0,""
"",ix-or10-06.ix.netcom.com,01/Jul/1995:00:02:04,/software/winvn/userguide/winvnsm.gif,3293,""
"",dd14-046.compuserve.com,01/Jul/1995:00:02:05,/shuttle/countdown/,3985,""
"",205.189.154.54,01/Jul/1995:00:02:11,/shuttle/missions/sts-71/images/KSC-95EC-0869.gif,45798,""
"",port2.electrotex.com,01/Jul/1995:00:02:12,/shuttle/countdown/video/livevideo.gif,70712,""
"",199.33.32.50,01/Jul/1995:00:02:12,/shuttle/countdown/liftoff.html,4538,""
"",scheyer.clark.net,01/Jul/1995:00:02:13,/shuttle/missions/sts-71/movies/sts-71-launch-3.mpg,130724,""
"",199.33.32.50,01/Jul/1995:00:02:14,/images/NASA-logosmall.gif,786,""
"",remote27.compusmart.ab.ca,01/Jul/1995:00:02:14,/shuttle/missions/sts-71/images/KSC-95EC-0868.gif,47122,""
"",ppp-nyc-3-1.ios.com,01/Jul/1995:00:02:15,/shuttle/missions/sts-71/images/KSC-95EC-0918.gif,31631,""
"",smyth-pc.moorecap.com,01/Jul/1995:00:02:15,/history/apollo/images/footprint-small.gif,18149,""
"",dynip42.efn.org,01/Jul/1995:00:02:15,/software/,689,""
"",waters-gw.starway.net.au,01/Jul/1995:00:02:16,/shuttle/missions/51-l/51-l-info.html,1387,""
"",199.33.32.50,01/Jul/1995:00:02:16,/shuttle/countdown/video/livevideo.gif,62761,""
"",lmsmith.tezcat.com,01/Jul/1995:00:02:16,/shuttle/countdown/,3985,""
"",dynip42.efn.org,01/Jul/1995:00:02:17,/icons/blank.xbm,509,""
"",dynip42.efn.org,01/Jul/1995:00:02:17,/icons/menu.xbm,527,""
"",unicomp6.unicomp.net,01/Jul/1995:00:02:17,/facilities/lcc.html,2489,""
"",lmsmith.tezcat.com,01/Jul/1995:00:02:19,/shuttle/countdown/count.gif,40310,""
"",lmsmith.tezcat.com,01/Jul/1995:00:02:20,/images/NASA-logosmall.gif,786,""
"",unicomp6.unicomp.net,01/Jul/1995:00:02:20,/images/ksclogosmall.gif,3635,""
"",unicomp6.unicomp.net,01/Jul/1995:00:02:21,/images/kscmap-tiny.gif,2537,""
"",lmsmith.tezcat.com,01/Jul/1995:00:02:21,/images/KSC-logosmall.gif,1204,""
